status,ticker,price,timestamp,position_type
open,ADBE,462.0442,2023-06-12 09:38:00-04:00,short
close,ADBE,465.875,2023-06-12 10:20:00-04:00,short
open,NFLX,432.5943,2023-06-13 09:39:00-04:00,long
close,NFLX,435.9,2023-06-13 15:55:00-04:00,long
open,CRM,213.02,2023-06-13 09:36:00-04:00,short
close,CRM,208.93,2023-06-13 15:55:00-04:00,short
open,TSLA,259.38,2023-06-14 10:15:00-04:00,short
close,TSLA,256.18,2023-06-14 15:55:00-04:00,short
open,NFLX,441.855,2023-06-15 09:36:00-04:00,short
close,NFLX,446.6,2023-06-15 10:40:00-04:00,short
open,AMD,124.25,2023-06-15 09:41:00-04:00,short
close,AMD,124.305,2023-06-15 15:55:00-04:00,short
open,MU,67.61,2023-06-16 09:38:00-04:00,short
close,MU,67.645,2023-06-16 15:55:00-04:00,short
open,TSLA,263.72,2023-06-20 10:15:00-04:00,long
close,TSLA,274.4025,2023-06-20 15:55:00-04:00,long
open,ADBE,476.0,2023-06-23 09:46:00-04:00,long
close,ADBE,487.2,2023-06-23 15:55:00-04:00,long
open,NFLX,421.6,2023-06-23 09:45:00-04:00,long
close,NFLX,418.12,2023-06-23 11:30:00-04:00,long
open,META,288.8994,2023-06-26 09:48:00-04:00,short
close,META,278.87,2023-06-26 15:55:00-04:00,short
open,TSLA,253.61,2023-06-26 09:39:00-04:00,long
close,TSLA,251.246,2023-06-26 11:05:00-04:00,long
open,PANW,246.84,2023-06-26 11:21:00-04:00,long
close,PANW,244.8,2023-06-26 12:40:00-04:00,long
open,MSFT,332.31,2023-06-27 09:40:00-04:00,long
close,MSFT,329.7298,2023-06-27 11:00:00-04:00,long
open,ADBE,481.33,2023-06-27 10:21:00-04:00,long
close,ADBE,488.66,2023-06-27 15:55:00-04:00,long
open,NFLX,429.0573,2023-06-28 09:37:00-04:00,long
close,NFLX,425.54,2023-06-28 09:40:00-04:00,long
open,SNOW,185.34,2023-06-28 09:40:00-04:00,long
close,SNOW,183.5,2023-06-28 14:20:00-04:00,long
open,META,286.22,2023-06-28 09:45:00-04:00,long
close,META,284.6896,2023-06-28 15:55:00-04:00,long
open,BA,210.47,2023-06-28 09:36:00-04:00,short
close,BA,210.56,2023-06-28 15:55:00-04:00,short
open,MU,65.32,2023-06-29 09:36:00-04:00,short
close,MU,64.5,2023-06-29 15:55:00-04:00,short
open,V,231.86,2023-06-29 10:07:00-04:00,long
close,V,233.98,2023-06-29 15:55:00-04:00,long
open,ADBE,484.95,2023-06-30 09:37:00-04:00,long
close,ADBE,489.195,2023-06-30 15:55:00-04:00,long
open,NFLX,437.8,2023-07-03 10:59:00-04:00,short
