ticker,position_type,entry_time,exit_time,entry_price,exit_price,capital_allocated,shares_traded,profit/loss,% of profit/loss,updated_capital
CVNA,short,2024-05-14 09:37:00-04:00,2024-05-14 15:55:00-04:00,121.595,120.95,59388.619566703244,488.41333580084085,311.60770824093447,0.5246926271639425,177923.39854534605
TSLA,long,2024-05-14 09:39:00-04:00,2024-05-14 15:55:00-04:00,175.9599,177.6,59388.619566703244,337.5122375422084,551.1912351301771,0.9281091885139681,178474.58978047624
MSFT,long,2024-05-15 09:46:00-04:00,2024-05-15 15:55:00-04:00,418.505,422.88,89237.29489023812,213.22874252455316,931.3831473472482,1.0437151288515072,179405.9729278235
VRT,long,2024-05-15 09:37:00-04:00,2024-05-15 15:55:00-04:00,101.935,104.23,89237.29489023812,875.4333142712328,2002.9914230525821,2.244567616618435,181408.96435087608
RDDT,long,2024-05-17 09:36:00-04:00,2024-05-17 10:05:00-04:00,63.71,63.1999,181408.96435087608,2847.417428203988,-1472.399552124286,-0.8116465233087449,179936.5647987518
MSTR,short,2024-05-20 09:45:00-04:00,2024-05-20 09:50:00-04:00,158.628,160.4,89968.2823993759,567.1652066430637,-1008.9869026180215,-1.1214917921174195,178927.57789613376
AMD,long,2024-05-20 09:36:00-04:00,2024-05-20 10:05:00-04:00,167.4339,165.88,89968.2823993759,537.3361212954837,-838.7279517301199,-0.9322484873135003,178088.84994440366
JPM,long,2024-05-21 11:49:00-04:00,2024-05-21 15:55:00-04:00,197.83,199.84,89044.42497220183,450.10577249255334,901.5618623025803,1.012485467320422,178990.41180670622
TSLA,long,2024-05-21 09:39:00-04:00,2024-05-21 15:55:00-04:00,177.6301,186.645,89044.42497220183,501.2913068911284,4515.581963344601,5.071156296145761,183505.99377005082
META,long,2024-05-22 09:55:00-04:00,2024-05-22 15:55:00-04:00,468.54,467.6625,91752.99688502541,195.82745738896446,-173.20938606053863,-0.188777905835147,183332.78438399028
MSFT,long,2024-05-22 09:36:00-04:00,2024-05-22 15:15:00-04:00,430.925,427.33,91752.99688502541,212.92103471607683,-766.9415670473146,-0.8358763125834026,182565.84281694295
SMCI,long,2024-05-23 09:40:00-04:00,2024-05-23 09:45:00-04:00,95.781,94.852,91282.92140847148,953.0378823406675,-892.0434578708666,-0.9772293043505517,181673.7993590721
AVGO,short,2024-05-23 09:47:00-04:00,2024-05-23 15:55:00-04:00,142.0107,139.235,91282.92140847148,642.7890391954371,1779.690012820407,1.9496418227640593,183453.4893718925
DELL,long,2024-05-24 09:38:00-04:00,2024-05-24 15:55:00-04:00,156.9003,160.49,45863.372342973125,292.3090162540998,1047.2555125335698,2.2834245696152418,184500.74488442607
SNOW,long,2024-05-24 09:39:00-04:00,2024-05-24 09:40:00-04:00,157.23,155.77,45863.372342973125,291.6960652736318,-427.9181277564119,-0.933028048082414,184072.82675666964
QCOM,long,2024-05-24 09:40:00-04:00,2024-05-24 15:55:00-04:00,204.93,210.44,45863.372342973125,223.80018710278205,1231.5724296266076,2.6853071780607967,185304.39918629624
MRNA,long,2024-05-24 09:52:00-04:00,2024-05-24 09:50:00-04:00,166.25,164.6645,45863.372342973125,275.8699088299135,-439.3228298116362,-0.9578947368421029,184865.0763564846
QCOM,short,2024-05-28 09:42:00-04:00,2024-05-28 10:40:00-04:00,213.19,214.92,36973.01527129692,173.42753070639768,-301.24362083701095,-0.8147661710211499,184563.8327356476
SE,short,2024-05-28 10:29:00-04:00,2024-05-28 10:55:00-04:00,67.61,68.13,36973.01527129692,546.8571996937867,-288.1937442386234,-0.7794704925306848,184275.63899140898
VRT,short,2024-05-28 09:38:00-04:00,2024-05-28 10:40:00-04:00,104.81,105.635,36973.01527129692,352.76228672165746,-293.49822255242,-0.7938173838374226,183982.14076885657
NVDA,long,2024-05-28 09:37:00-04:00,2024-05-28 15:55:00-04:00,111.093,113.722,36973.01527129692,332.81138569754097,872.6314532989493,2.3601847101077387,184854.77222215553
TSLA,short,2024-05-28 09:51:00-04:00,2024-05-28 11:40:00-04:00,175.0702,176.89,36973.01527129692,211.1896557569302,-385.80126313675726,-1.043467134897879,184468.97095901877
QCOM,short,2024-05-29 09:38:00-04:00,2024-05-29 11:50:00-04:00,208.27,210.11,30744.828493169796,147.6200532634071,-272.6542383775134,-0.8868295961972457,184196.31672064125
MRNA,short,2024-05-29 11:22:00-04:00,2024-05-29 12:05:00-04:00,145.23,146.39,30744.828493169796,211.69750391220683,-247.05098706554463,-0.8035529849204686,183949.2657335757
TSM,short,2024-05-29 09:37:00-04:00,2024-05-29 15:55:00-04:00,154.98,154.36,30744.828493169796,198.37932954684345,121.6065290122103,0.3955349077300143,184070.87226258792
AMD,short,2024-05-29 09:38:00-04:00,2024-05-29 15:55:00-04:00,166.3801,165.14,30744.828493169796,184.78669319930566,227.86047138406613,0.7411343063263051,184298.732733972
MSTR,short,2024-05-29 09:38:00-04:00,2024-05-29 09:35:00-04:00,164.4429,165.746,30744.828493169796,186.96355083235454,-244.9409479454678,-0.7966899148579845,184053.79178602653
TSLA,long,2024-05-29 09:45:00-04:00,2024-05-29 15:55:00-04:00,175.84,176.54,30744.828493169796,174.84547596206662,121.16791484171017,0.39410828025477057,184174.95970086823
DELL,short,2024-05-30 12:35:00-04:00,2024-05-30 15:55:00-04:00,172.1264,170.07,46043.73992521706,267.4995812682834,548.213641851219,1.1906366484165103,184723.17334271944
MSFT,short,2024-05-30 09:40:00-04:00,2024-05-30 15:55:00-04:00,423.06,414.91,46043.73992521706,108.83501140551472,886.2434978751039,1.9247860823523797,185609.41684059455
META,short,2024-05-30 09:49:00-04:00,2024-05-30 15:55:00-04:00,469.17,467.19,46043.73992521706,98.13871288704959,193.62768052615064,0.4205298719014468,185803.0445211207
MRNA,short,2024-05-30 09:49:00-04:00,2024-05-30 11:55:00-04:00,146.4313,147.53,46043.73992521706,314.4391938418703,-347.6754166309585,-0.7550981245130025,185455.36910448974
DELL,short,2024-05-31 09:36:00-04:00,2024-05-31 15:55:00-04:00,140.9597,139.72,30909.228184081625,219.2770570885269,270.30282827302693,0.8745052663988353,185725.67193276278
NVDA,short,2024-05-31 09:36:00-04:00,2024-05-31 15:55:00-04:00,111.849,109.5848,30909.228184081625,276.34782773276135,623.7723167583896,2.0180779443714316,186349.44424952116
